key,value
Luggage,Va li
LUGGAGE,VA LI
Big Luggage,Va Li Lớn
BIG LUGGAGE,VA LI LỚN
Explorer's Luggage,Va Li Nhà Khai Phá
EXPLORER'S LUGGAGE,VA LI NHÀ KHAI PHÁ
Ancient Luggage,VA LI CỔ ĐẠI
ANCIENT LUGGAGE,VA LI CỔ ĐẠI
Chain,Xích
CHAIN,XÍCH
Vine,Dây Leo
VINE,DÂY LEO
Bing Bong,Bing Bong
BING BONG,BING BONG
Conch,Vỏ Ốc
CONCH,VỎ ỐC
Backpack,Ba lô
BACKPACK,BA LÔ
Granola Bar,Lương Khô
GRANOLA BAR,LƯƠNG KHÔ
Trail Mix,Hạt Dinh Dưỡng
TRAIL MIX,HẠT DINH DƯỠNG
Lantern,Đèn Lồng
LANTERN,ĐÈN LỒNG
Bugle,Loa Kèn
BUGLE,LOA KÈN
Compass,La Bàn
COMPASS,LA BÀN
Coconut,Dừa
COCONUT,DỪA
Coconut Half,Dừa Bổ
COCONUT HALF,DỪA BỔ
anti-rope spool, dây phản trọng lực
ANTI-ROPE SPOOL,DÂY PHẢN TRỌNG LỰC
anti-rope, dây phản trọng lực
ANTI-ROPE,DÂY PHẢN TRỌNG LỰC
rope,dây
ROPE,DÂY
rope spool,cuộn dây
ROPE SPOOL,CUỘN DÂY
Energy Drink,Nước Tăng Lực
ENERGY DRINK,NƯỚC TĂNG LỰC
First Aid Kit,Bộ Sơ Cứu
FIRST AID KIT,BỘ SƠ CỨU
Bandages,Băng Gạc
BANDAGES,BĂNG GẠC
Bugle Shroom,Nấm Cương
BUGLE SHROOM,NẤM CƯƠNG
Cluster Shroom,Nấm Cụm
CLUSTER SHROOM,NẤM CỤM
Button Shroom,Nấm Nút
BUTTON SHROOM,NẤM NÚT
Chubby Shroom,Nấm Phì
CHUBBY SHROOM,NẤM PHÌ
Weird Shroom,Nấm Quái
WEIRD SHROOM,NẤM QUÁI
Airline Food,Suất Ăn Hàng Không
AIRLINE FOOD,SUẤT ĂN HÀNG KHÔNG
Big Lollipop,Kẹo Mút To
BIG LOLLIPOP,KẸO MÚT TO
Marshmallow,Kẹo Dẻo
MARSHMALLOW,KẸO DẺO
Faerie Lantern,Lồng Đèn Tiên
